
♈央视,#genre#
CCTV1综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV3综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://140.207.241.3:8080/live/program/live/cctv3hd/4000000/mnf.m3u8?xtkg
CCTV3综艺,http://111.63.117.13:6060/030000001000/CCTV3/CCTV3.m3u8
CCTV4,http://111.59.63.32:9901/tsfile/live/1011_1.m3u8
CCTV5体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://140.207.241.3:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV5+赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+赛事,http://140.207.241.3:8080/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV6电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://140.207.241.3:8080/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV7军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV8电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV8电视剧,http://140.207.241.3:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV9纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV10科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV10科教,http://140.207.241.3:8080/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV12社会,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV12社会,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV14少儿,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV14少儿,http://140.207.241.3:8080/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV16奥林,http://39.134.115.163:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225909/index.m3u8
CCTV17农业,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8
CCTV1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
